index,po_id,supplier_name,amount_mad,supplier_risk,urgency
0,PO-2026-2001,Casa Equipment,82821,medium,urgent
1,PO-2026-2002,Rabat Supplies,100142,low,normal
2,PO-2026-2003,Tanger Logistics Parts,117463,low,normal
3,PO-2026-2004,Kenitra Maintenance,134784,medium,normal
4,PO-2026-2005,Marrakech Office Solutions,152105,low,urgent
5,PO-2026-2006,Agadir Packaging,169426,low,urgent
6,PO-2026-2007,Fes Technical Services,186747,medium,normal
7,PO-2026-2008,Atlas Industrial,19068,high,normal
8,PO-2026-2009,Casa Equipment,36389,low,normal
9,PO-2026-2010,Rabat Supplies,53710,medium,urgent
10,PO-2026-2011,Tanger Logistics Parts,71031,low,urgent
11,PO-2026-2012,Kenitra Maintenance,88352,low,normal
12,PO-2026-2013,Marrakech Office Solutions,105673,medium,normal
13,PO-2026-2014,Agadir Packaging,122994,low,normal
14,PO-2026-2015,Fes Technical Services,140315,low,urgent
15,PO-2026-2016,Atlas Industrial,157636,high,urgent
16,PO-2026-2017,Casa Equipment,174957,low,normal
17,PO-2026-2018,Rabat Supplies,192278,low,normal
18,PO-2026-2019,Tanger Logistics Parts,24599,medium,normal
19,PO-2026-2020,Kenitra Maintenance,41920,low,urgent
20,PO-2026-2021,Marrakech Office Solutions,59241,low,urgent
21,PO-2026-2022,Agadir Packaging,76562,medium,normal
22,PO-2026-2023,Fes Technical Services,93883,low,normal
23,PO-2026-2024,Atlas Industrial,111204,high,normal
24,PO-2026-2025,Casa Equipment,128525,medium,urgent
25,PO-2026-2026,Rabat Supplies,145846,low,urgent
26,PO-2026-2027,Tanger Logistics Parts,163167,low,normal
27,PO-2026-2028,Kenitra Maintenance,180488,medium,normal
28,PO-2026-2029,Marrakech Office Solutions,197809,low,normal
29,PO-2026-2030,Agadir Packaging,30130,low,urgent
30,PO-2026-2031,Fes Technical Services,47451,medium,urgent
31,PO-2026-2032,Atlas Industrial,64772,high,normal
32,PO-2026-2033,Casa Equipment,82093,low,normal
33,PO-2026-2034,Rabat Supplies,99414,medium,normal
34,PO-2026-2035,Tanger Logistics Parts,116735,low,urgent
35,PO-2026-2036,Kenitra Maintenance,134056,low,urgent
36,PO-2026-2037,Marrakech Office Solutions,151377,medium,normal
37,PO-2026-2038,Agadir Packaging,168698,low,normal
38,PO-2026-2039,Fes Technical Services,186019,low,normal
39,PO-2026-2040,Atlas Industrial,203340,high,urgent
40,PO-2026-2041,Casa Equipment,35661,low,urgent
41,PO-2026-2042,Rabat Supplies,52982,low,normal
