index,po_id,supplier_name,amount_mad,supplier_risk,urgency
0,PO-2026-1001,Casa Equipment,151821,low,urgent
1,PO-2026-1002,Rabat Supplies,169142,medium,normal
2,PO-2026-1003,Tanger Logistics Parts,186463,low,normal
3,PO-2026-1004,Kenitra Maintenance,18784,low,normal
4,PO-2026-1005,Marrakech Office Solutions,36105,medium,urgent
5,PO-2026-1006,Agadir Packaging,53426,low,urgent
6,PO-2026-1007,Fes Technical Services,70747,low,normal
7,PO-2026-1008,Atlas Industrial,88068,high,normal
8,PO-2026-1009,Casa Equipment,105389,low,normal
9,PO-2026-1010,Rabat Supplies,122710,low,urgent
10,PO-2026-1011,Tanger Logistics Parts,140031,medium,urgent
11,PO-2026-1012,Kenitra Maintenance,157352,low,normal
12,PO-2026-1013,Marrakech Office Solutions,174673,low,normal
13,PO-2026-1014,Agadir Packaging,191994,medium,normal
14,PO-2026-1015,Fes Technical Services,24315,low,urgent
15,PO-2026-1016,Atlas Industrial,41636,high,urgent
16,PO-2026-1017,Casa Equipment,58957,medium,normal
17,PO-2026-1018,Rabat Supplies,76278,low,normal
18,PO-2026-1019,Tanger Logistics Parts,93599,low,normal
19,PO-2026-1020,Kenitra Maintenance,110920,medium,urgent
20,PO-2026-1021,Marrakech Office Solutions,128241,low,urgent
21,PO-2026-1022,Agadir Packaging,145562,low,normal
22,PO-2026-1023,Fes Technical Services,162883,medium,normal
23,PO-2026-1024,Atlas Industrial,180204,high,normal
24,PO-2026-1025,Casa Equipment,197525,low,urgent
25,PO-2026-1026,Rabat Supplies,29846,medium,urgent
26,PO-2026-1027,Tanger Logistics Parts,47167,low,normal
27,PO-2026-1028,Kenitra Maintenance,64488,low,normal
28,PO-2026-1029,Marrakech Office Solutions,81809,medium,normal
29,PO-2026-1030,Agadir Packaging,99130,low,urgent
30,PO-2026-1031,Fes Technical Services,116451,low,urgent
31,PO-2026-1032,Atlas Industrial,133772,high,normal
32,PO-2026-1033,Casa Equipment,151093,low,normal
33,PO-2026-1034,Rabat Supplies,168414,low,normal
34,PO-2026-1035,Tanger Logistics Parts,185735,medium,urgent
35,PO-2026-1036,Kenitra Maintenance,203056,low,urgent
36,PO-2026-1037,Marrakech Office Solutions,35377,low,normal
37,PO-2026-1038,Agadir Packaging,52698,medium,normal
38,PO-2026-1039,Fes Technical Services,70019,low,normal
39,PO-2026-1040,Atlas Industrial,87340,high,urgent
40,PO-2026-1041,Casa Equipment,104661,medium,urgent
41,PO-2026-1042,Rabat Supplies,121982,low,normal
42,PO-2026-1043,Tanger Logistics Parts,139303,low,normal
43,PO-2026-1044,Kenitra Maintenance,156624,medium,normal
44,PO-2026-1045,Marrakech Office Solutions,173945,low,urgent
