index,po_id,supplier_name,amount_mad,supplier_risk,urgency
1,PO-2026-0001,Kenitra Maintenance,25821,low,normal
2,PO-2026-0002,Rabat Supplies,43142,low,normal
3,PO-2026-0003,Atlas Industrial,60463,low,normal
4,PO-2026-0004,Marrakech Office Solutions,77784,low,normal
5,PO-2026-0005,Casa Equipment,95105,medium,normal
6,PO-2026-0006,Agadir Cold Chain,112426,low,normal
7,PO-2026-0007,Sahara Components,129747,low,high
8,PO-2026-0008,Oujda Distribution,147068,low,normal
9,PO-2026-0009,Tanger Services,164389,low,normal
10,PO-2026-0010,Maghreb Packaging,181710,medium,normal
11,PO-2026-0011,Fes Technical Parts,22531,high,normal
12,PO-2026-0012,North Logistics,39852,low,normal
13,PO-2026-0013,Kenitra Maintenance,57173,low,urgent
14,PO-2026-0014,Rabat Supplies,74494,low,high
15,PO-2026-0015,Atlas Industrial,91815,medium,normal
16,PO-2026-0016,Marrakech Office Solutions,109136,low,normal
17,PO-2026-0017,Casa Equipment,246457,low,normal
18,PO-2026-0018,Agadir Cold Chain,143778,low,normal
19,PO-2026-0019,Sahara Components,161099,low,normal
20,PO-2026-0020,Oujda Distribution,178420,medium,normal
21,PO-2026-0021,Tanger Services,19241,low,high
22,PO-2026-0022,Maghreb Packaging,36562,high,normal
23,PO-2026-0023,Fes Technical Parts,53883,low,normal
24,PO-2026-0024,North Logistics,71204,low,normal
25,PO-2026-0025,Kenitra Maintenance,88525,medium,normal
26,PO-2026-0026,Rabat Supplies,105846,low,urgent
27,PO-2026-0027,Atlas Industrial,123167,low,normal
28,PO-2026-0028,Marrakech Office Solutions,140488,low,high
29,PO-2026-0029,Casa Equipment,157809,blocked,normal
30,PO-2026-0030,Agadir Cold Chain,175130,medium,normal
31,PO-2026-0031,Sahara Components,15951,low,critical
32,PO-2026-0032,Oujda Distribution,33272,low,normal
33,PO-2026-0033,Tanger Services,50593,high,normal
34,PO-2026-0034,Maghreb Packaging,187914,low,normal
35,PO-2026-0035,Fes Technical Parts,85235,medium,high
36,PO-2026-0036,North Logistics,102556,low,normal
37,PO-2026-0037,Kenitra Maintenance,119877,low,normal
38,PO-2026-0038,Rabat Supplies,137198,low,normal
39,PO-2026-0039,Atlas Industrial,154519,low,urgent
40,PO-2026-0040,Marrakech Office Solutions,171840,medium,normal
41,PO-2026-0041,Casa Equipment,12661,low,normal
42,PO-2026-0042,Agadir Cold Chain,29982,low,high
43,PO-2026-0043,Sahara Components,277303,low,normal
44,PO-2026-0044,Oujda Distribution,64624,high,normal
45,PO-2026-0045,Tanger Services,81945,medium,normal
46,PO-2026-0046,Maghreb Packaging,99266,low,normal
47,PO-2026-0047,Fes Technical Parts,116587,low,normal
48,PO-2026-0048,North Logistics,133908,low,normal
49,PO-2026-0049,Kenitra Maintenance,151229,low,high
50,PO-2026-0050,Rabat Supplies,168550,medium,normal
51,PO-2026-0051,Atlas Industrial,129371,low,normal
52,PO-2026-0052,Marrakech Office Solutions,26692,low,urgent
53,PO-2026-0053,Casa Equipment,44013,low,normal
54,PO-2026-0054,Agadir Cold Chain,61334,low,normal
55,PO-2026-0055,Sahara Components,78655,high,normal
56,PO-2026-0056,Oujda Distribution,95976,low,high
57,PO-2026-0057,Tanger Services,113297,low,normal
58,PO-2026-0058,Maghreb Packaging,130618,blocked,normal
59,PO-2026-0059,Fes Technical Parts,147939,low,normal
60,PO-2026-0060,North Logistics,165260,medium,normal
61,PO-2026-0061,Kenitra Maintenance,182581,low,normal
62,PO-2026-0062,Rabat Supplies,23402,low,critical
63,PO-2026-0063,Atlas Industrial,40723,low,high
64,PO-2026-0064,Marrakech Office Solutions,58044,low,normal
65,PO-2026-0065,Casa Equipment,75365,medium,urgent
66,PO-2026-0066,Agadir Cold Chain,92686,high,normal
67,PO-2026-0067,Sahara Components,110007,low,normal
68,PO-2026-0068,Oujda Distribution,247328,low,normal
69,PO-2026-0069,Tanger Services,144649,low,normal
70,PO-2026-0070,Maghreb Packaging,161970,medium,high
71,PO-2026-0071,Fes Technical Parts,179291,low,normal
72,PO-2026-0072,North Logistics,20112,low,normal
73,PO-2026-0073,Kenitra Maintenance,37433,low,normal
74,PO-2026-0074,Rabat Supplies,54754,low,normal
75,PO-2026-0075,Atlas Industrial,72075,medium,normal
76,PO-2026-0076,Marrakech Office Solutions,89396,low,normal
77,PO-2026-0077,Casa Equipment,106717,high,high
78,PO-2026-0078,Agadir Cold Chain,124038,low,urgent
79,PO-2026-0079,Sahara Components,141359,low,normal
80,PO-2026-0080,Oujda Distribution,158680,medium,normal
81,PO-2026-0081,Tanger Services,176001,low,normal
82,PO-2026-0082,Maghreb Packaging,16822,low,normal
83,PO-2026-0083,Fes Technical Parts,34143,low,normal
84,PO-2026-0084,North Logistics,51464,low,high
85,PO-2026-0085,Kenitra Maintenance,188785,medium,normal
86,PO-2026-0086,Rabat Supplies,316106,low,normal
87,PO-2026-0087,Atlas Industrial,103427,blocked,normal
88,PO-2026-0088,Marrakech Office Solutions,120748,high,normal
89,PO-2026-0089,Casa Equipment,138069,low,normal
90,PO-2026-0090,Agadir Cold Chain,155390,medium,normal
91,PO-2026-0091,Sahara Components,172711,low,urgent
92,PO-2026-0092,Oujda Distribution,13532,low,normal
93,PO-2026-0093,Tanger Services,30853,low,critical
94,PO-2026-0094,Maghreb Packaging,48174,low,normal
95,PO-2026-0095,Fes Technical Parts,65495,medium,normal
96,PO-2026-0096,North Logistics,82816,low,normal
97,PO-2026-0097,Kenitra Maintenance,100137,low,normal
98,PO-2026-0098,Rabat Supplies,117458,low,high
99,PO-2026-0099,Atlas Industrial,134779,high,normal
100,PO-2026-0100,Marrakech Office Solutions,152100,medium,normal
101,PO-2026-0101,Casa Equipment,169421,low,normal
102,PO-2026-0102,Agadir Cold Chain,130242,low,normal
103,PO-2026-0103,Sahara Components,27563,low,normal
104,PO-2026-0104,Oujda Distribution,44884,low,urgent
